Numero|DataOcorrencia|Natureza|EstadoOcorrencia|Distrito|Concelho|Freguesia|Localidade|Latitude|Longitude|NumeroMeiosTerrestresEnvolvidos|NumeroOperacionaisTerrestresEnvolvidos|NumeroMeiosAereosEnvolvidos|NumeroOperacionaisAereosEnvolvidos
2020110119437|04/07/2020 14:35:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|LISBOA|AMADORA|Alfragide|Alfragide|38,7347330807002|-9,21673860674054|1|2|0|0
2020040015416|04/07/2020 14:35:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Despacho de 1º Alerta|BRAGANÇA|MACEDO DE CAVALEIROS|Peredo|PEREDO|41,4272397761544|-6,86746468119198|1|5|0|0
2020130097375|04/07/2020 14:32:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|PORTO|GONDOMAR|Baguim do Monte (Rio Tinto)|Baguim do Monte|41,1930499165902|-8,54200144126608|1|2|0|0
2020070012597|04/07/2020 14:30:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas|Despacho de 1º Alerta|ÉVORA|BORBA|Borba (Matriz)|Borba|38,8061586212187|-7,46537862052794|1|2|0|0
2020130097374|04/07/2020 14:30:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação|Em Curso|PORTO|PORTO|Ramalde|Ramalde|41,1713897349599|-8,64292151198627|1|2|0|0
2020090019614|04/07/2020 14:29:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|GUARDA|SEIA|Girabolhos|Girabolhos|40,5078786892858|-7,74988563020229|1|4|0|0
2020100032737|04/07/2020 14:28:00|Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional|Despacho de 1º Alerta|LEIRIA|ALCOBAÇA|Aljubarrota|Molianos|39,514326|-8,912197|3|12|0|0
2020150052279|04/07/2020 14:27:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|SETÚBAL|PALMELA|Pinhal Novo|Arraiados|38,6130712664266|-8,85182089284339|1|2|0|0
2020130097371|04/07/2020 14:26:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|PORTO|MATOSINHOS|Custóias, Leça do Balio e Guifões|União das Freguesias de Custóias, Leça do Balio e Guifões|41,2085393688638|-8,64312310863761|1|3|0|0
2020180030609|04/07/2020 14:25:00|Riscos Mistos / Incêndios Rurais / Mato|Despacho de 1º Alerta|VISEU|CARREGAL DO SAL|Carregal do Sal|Ribeira do Sobral|40,452638|-8,03056|5|30|1|1
2020040015415|04/07/2020 14:22:00|Riscos Mistos / Incêndios em Detritos / Detritos não confinados|Em Resolução|BRAGANÇA|ALFÂNDEGA DA FÉ|Alfândega da Fé|ALFÂNDEGA DA FÉ|41,341004|-6,971876|3|12|0|0
2020130097367|04/07/2020 14:20:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Busca e Resgate Terrestre, de Animais|Despacho de 1º Alerta|PORTO|VILA NOVA DE GAIA|Madalena|MADALENA|41,101651|-8,654518|1|3|0|0
2020140032184|04/07/2020 14:20:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Despacho de 1º Alerta|SANTARÉM|SANTARÉM|Marvila, Ribeira Santarém, S.Salvador, S.Nicolau|SANTARÉM (MARVILA), SANTA IRIA DA RIBEIR|39,23809603|-8,688445865|1|5|0|0
2020110119432|04/07/2020 14:17:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|LISBOA|SINTRA|Agualva e Mira-Sintra|Agualva-Cacém|38,7689975863337|-9,28945686281544|1|2|0|0
2020180030604|04/07/2020 14:16:00|Riscos Mistos / Incêndios Rurais / Mato|Despacho de 1º Alerta|VISEU|VISEU|Faíl e Vila Chã de Sá|FAIL|40,609276|-7,980696|7|31|1|1
2020060025408|04/07/2020 14:15:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|COIMBRA|MONTEMOR-O-VELHO|Santo Varão|Santo Varão|40,1728669696037|-8,60910973149249|1|2|0|0
2020050015602|04/07/2020 14:14:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer|Despacho de 1º Alerta|CASTELO BRANCO|VILA VELHA DE RÓDÃO|Fratel|Perdigão|39,6873919482808|-7,73442578739565|2|4|0|0
2020050015601|04/07/2020 14:13:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Despacho de 1º Alerta|CASTELO BRANCO|FUNDÃO|Fundão, Valverde, Donas, Aldeia de Joanes e Aldeia Nova do Cabo|ARIEIRA|40,1609662207562|-7,49809550159013|1|2|0|0
2020180030603|04/07/2020 14:11:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|VISEU|OLIVEIRA DE FRADES|Arcozelo das Maias|ARCOZELO DAS MAIAS|40,736261366858|-8,27163507442806|1|2|0|0
2020060025407|04/07/2020 14:11:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Despacho de 1º Alerta|COIMBRA|SOURE|Vila Nova de Anços|Barroco|40,1203372697749|-8,59765853144038|1|5|0|0
2020060025406|04/07/2020 14:09:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Busca e Resgate Terrestre, de Animais|Despacho de 1º Alerta|COIMBRA|COIMBRA|Trouxemil e Torre de Vilela|ALCARRAQUES|40,259502|-8,458728|2|3|0|0
2020170014363|04/07/2020 14:09:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|VILA REAL|MURÇA|Fiolhoso|Levandeira|41,3982020693162|-7,49339928139895|1|2|0|0
2020110119418|04/07/2020 14:08:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas|Despacho de 1º Alerta|LISBOA|LOURINHÃ|Reguengo Grande|Fontelas|39,2785434170092|-9,22363086119695|1|2|0|0
2020010046779|04/07/2020 14:07:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|AVEIRO|ANADIA|Arcos e Mogofores|Anadia|40,4512045627385|-8,44286212490741|1|2|0|0
2020170014362|04/07/2020 14:06:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Despacho de 1º Alerta|VILA REAL|ALIJÓ|Carlão e Amieiro|AMIEIRO|41,2805812688589|-7,39786478043478|1|3|0|0
2020010046781|04/07/2020 14:06:00|Riscos Tecnológicos / Acidentes / Colisão rodoviária|Em Curso|AVEIRO|ÁGUEDA|Águeda e Borralha|Alagoa|40,583736|-8,444946|1|2|0|0
2020100032729|04/07/2020 14:06:00|Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Indústria, Oficina e Armazém|Em Curso|LEIRIA|CASTANHEIRA DE PÊRA|Castanheira de Pêra e Coentral|CASTANHEIRA_PERA|39,999887|-8,213115|4|11|0|0
2020110119423|04/07/2020 14:05:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Queimadura|Despacho de 1º Alerta|LISBOA|CADAVAL|Vermelha|VERMELHA|39,2678157934661|-9,11338882244571|1|2|0|0
2020160015135|04/07/2020 14:04:00|Riscos Mistos / Incêndios Rurais / Mato|Conclusão|VIANA DO CASTELO|VIANA DO CASTELO|Anha|Rodanho|41,671085|-8,81771|4|17|1|1
2020160015136|04/07/2020 14:04:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|VIANA DO CASTELO|PONTE DA BARCA|Entre Ambos-os-Rios, Ermida e Germil|ENTRE AMBOS-OS-RIOS, ERMIDA E GERMIL|41,80637934|-8,270752287|1|2|0|0
2020110119416|04/07/2020 14:03:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|LISBOA|ALENQUER|Abrigada e Cabanas de Torres|Cabanas do Chão|39,1422758149775|-9,04455798161714|1|2|0|0
2020120012214|04/07/2020 14:02:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|PORTALEGRE|CRATO|Monte da Pedra|MONTE DA PEDRA|39,364122536345|-7,75715051891887|1|5|0|0
2020100032728|04/07/2020 14:01:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|LEIRIA|LEIRIA|Maceira|Campos|39,6879832122716|-8,89567080726088|0|0|0|0
2020040015401|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|BRAGANÇA|Aveleda e Rio de Onor|AVELEDA|41,891588|-6,69569|1|3|0|0
2020040015404|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas|Despacho de 1º Alerta|BRAGANÇA|BRAGANÇA|Sé, Santa Maria e Meixedo|BRAGANÇA|41,813163526639|-6,76122313202681|2|5|0|0
2020040015408|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|BRAGANÇA|São Julião de Palácios e Deilão|DEILÃO|41,854165|-6,58695|1|4|0|0
2020040015406|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|BRAGANÇA|São Julião de Palácios e Deilão|DEILÃO|41,854165|-6,58695|1|3|0|0
2020040015407|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|BRAGANÇA|Carragosa|Soutelo|41,887465|-6,801803|1|4|0|0
2020040015410|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MOGADOURO|Mogadouro, Valverde, Vale de Porco e Vilar de Rei|MOGADOURO|41,339826|-6,706687|1|5|0|0
2020150052273|04/07/2020 14:00:00|Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional|Conclusão|SETÚBAL|SESIMBRA|Quinta do Conde|Quinta do Conde|38,570355|-9,03613|3|9|0|0
2020040015405|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MIRANDA DO DOURO|Vila Chã de Braciosa|Freixiosa|41,433415|-6,319428|1|5|0|0
2020040015412|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|VINHAIS|Vinhais|VINHAIS|41,831974|-7,00037|1|3|0|0
2020040015411|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MOGADOURO|Brunhoso|BRUNHOSO|41,362983|-6,759959|1|0|0|0
2020030044274|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades públicas|Despacho de 1º Alerta|BRAGA|BARCELOS|Carapeços|CARAPEÇOS|41,59258219|-8,649854315|1|3|0|0
2020040015413|04/07/2020 14:00:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Patrulhamento, Reconhecimento e Vigilância|Em Curso|BRAGANÇA|MIRANDELA|Mirandela|MIRANDELA|41,484193|-7,170474|1|3|0|0
2020060025405|04/07/2020 13:59:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Busca e Resgate Terrestre, de Animais|Despacho de 1º Alerta|COIMBRA|FIGUEIRA DA FOZ|Ferreira-a-Nova|Santana|40,214236|-8,740439|1|2|0|0
2020040015403|04/07/2020 13:59:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas|Despacho de 1º Alerta|BRAGANÇA|FREIXO DE ESPADA À CINTA|Freixo de Espada à Cinta e Mazouco|Ferradosa|41,1289202169616|-6,84105852624974|1|5|0|0
2020110119411|04/07/2020 13:58:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Prevenção a actividades de lazer|Chegada ao TO|LISBOA|LOURES|Camarate, Unhos e Apelação|SETUBAL|38,80970462|-9,128836115|2|2|0|0
2020150052270|04/07/2020 13:57:00|Riscos Tecnológicos / Incêndios Urbanos ou em Área Urbanizável / Habitacional|Conclusão|SETÚBAL|SEIXAL|Corroios|QUINTINHAS|38,605282|-9,170732|3|9|0|0
2020070012594|04/07/2020 13:56:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Em Curso|ÉVORA|ARRAIOLOS|Igrejinha|Igrejinha|38,693718307204|-7,88947143949227|1|2|0|0
2020030044271|04/07/2020 13:55:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|BRAGA|FAFE|Fafe|FAFE|41,44961671|-8,175238914|1|2|0|0
2020040015402|04/07/2020 13:55:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água à População|Despacho de 1º Alerta|BRAGANÇA|MIRANDELA|Caravelas|Caravelas|41,4355190314853|-7,06231823680933|1|1|0|0
2020160015134|04/07/2020 13:52:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Trauma|Despacho de 1º Alerta|VIANA DO CASTELO|MONÇÃO|Mazedo e Cortes|MAZEDO|42,059339245886|-8,49799603833602|1|2|0|0
2020030044270|04/07/2020 13:52:00|Protecção e Assistência a Pessoas e Bens / Assistência em Saúde / Intoxicação|Em Curso|BRAGA|VIZELA|Santa Eulália|Santa Eulália (Vizela)|41,3529868403145|-8,29716391832345|3|6|0|0
2020010046775|04/07/2020 13:49:00|Protecção e Assistência a Pessoas e Bens / Assistência e Prevenção a actividades humanas / Abastecimento de Água a entidades privadas|Em Curso|AVEIRO|AVEIRO|Glória e Vera Cruz|Gafanha Nazaré|40,669025222058|-8,67970889505306|1|1|0|0
